/* DATA DESCRIPTION:
Citation:	Prahl, Boris F; Boettle, Markus; Costa, Luis; Rybski, Diego; Kropp, Jürgen P (2017): Protection cost curves (high estimate) for European coastal city clusters at protection heights between 0.0 and 12.0 m based on the EVRS2000 vertical datum [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.875261, 
	In supplement to: Prahl, Boris F; Boettle, Markus; Costa, Luis; Kropp, Jürgen P; Rybski, Diego (2018): Damage and protection cost curves for coastal floods within the 600 largest European cities. Scientific Data, 5(1), 180034, https://doi.org/10.1038/sdata.2018.34
Coverage:	MEDIAN LATITUDE: 49.309668 * MEDIAN LONGITUDE: 8.146498 * SOUTH-BOUND LATITUDE: 34.696196 * WEST-BOUND LONGITUDE: -22.600370 * NORTH-BOUND LATITUDE: 69.665872 * EAST-BOUND LONGITUDE: 39.743289
Parameter(s):	Identification (ID) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: Cluster ID
	Name (Name) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: of City
	Country (Country) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en)
	LATITUDE (Latitude) * GEOCODE * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en)
	LONGITUDE (Longitude) * GEOCODE * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en)
	Protection cost [million EUR] (Protection cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 0.0 m protection height (high estimate)
	Protection cost [million EUR] (Protection cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 0.5 m protection height (high estimate)
	Protection cost [million EUR] (Protection cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 1.0 m protection height (high estimate)
	Protection cost [million EUR] (Protection cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 1.5 m protection height (high estimate)
	Protection cost [million EUR] (Protection cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 2.0 m protection height (high estimate)
	Protection cost [million EUR] (Protection cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 2.5 m protection height (high estimate)
	Protection cost [million EUR] (Protection cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 3.0 m protection height (high estimate)
	Protection cost [million EUR] (Protection cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 3.5 m protection height (high estimate)
	Protection cost [million EUR] (Protection cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 4.0 m protection height (high estimate)
	Protection cost [million EUR] (Protection cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 4.5 m protection height (high estimate)
	Protection cost [million EUR] (Protection cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 5.0 m protection height (high estimate)
	Protection cost [million EUR] (Protection cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 5.5 m protection height (high estimate)
	Protection cost [million EUR] (Protection cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 6.0 m protection height (high estimate)
	Protection cost [million EUR] (Protection cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 6.5 m protection height (high estimate)
	Protection cost [million EUR] (Protection cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 7.0 m protection height (high estimate)
	Protection cost [million EUR] (Protection cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 7.5 m protection height (high estimate)
	Protection cost [million EUR] (Protection cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 8.0 m protection height (high estimate)
	Protection cost [million EUR] (Protection cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 8.5 m protection height (high estimate)
	Protection cost [million EUR] (Protection cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 9.0 m protection height (high estimate)
	Protection cost [million EUR] (Protection cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 9.5 m protection height (high estimate)
	Protection cost [million EUR] (Protection cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 10.0 m protection height (high estimate)
	Protection cost [million EUR] (Protection cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 10.5 m protection height (high estimate)
	Protection cost [million EUR] (Protection cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 11.0 m protection height (high estimate)
	Protection cost [million EUR] (Protection cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 11.5 m protection height (high estimate)
	Protection cost [million EUR] (Protection cost) * PI: Prahl, Boris F (https://orcid.org/0000-0002-3022-7471, corr@prahl.net, https://www.pik-potsdam.de/members/prahl/boris-prahl-1?set_language=en) * COMMENT: 12.0 m protection height (high estimate)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	17024 data points
*/
ID (Cluster ID)	Name (of City)	Country	Latitude	Longitude	Protection cost [million EUR] (0.0 m protection height (high...)	Protection cost [million EUR] (0.5 m protection height (high...)	Protection cost [million EUR] (1.0 m protection height (high...)	Protection cost [million EUR] (1.5 m protection height (high...)	Protection cost [million EUR] (2.0 m protection height (high...)	Protection cost [million EUR] (2.5 m protection height (high...)	Protection cost [million EUR] (3.0 m protection height (high...)	Protection cost [million EUR] (3.5 m protection height (high...)	Protection cost [million EUR] (4.0 m protection height (high...)	Protection cost [million EUR] (4.5 m protection height (high...)	Protection cost [million EUR] (5.0 m protection height (high...)	Protection cost [million EUR] (5.5 m protection height (high...)	Protection cost [million EUR] (6.0 m protection height (high...)	Protection cost [million EUR] (6.5 m protection height (high...)	Protection cost [million EUR] (7.0 m protection height (high...)	Protection cost [million EUR] (7.5 m protection height (high...)	Protection cost [million EUR] (8.0 m protection height (high...)	Protection cost [million EUR] (8.5 m protection height (high...)	Protection cost [million EUR] (9.0 m protection height (high...)	Protection cost [million EUR] (9.5 m protection height (high...)	Protection cost [million EUR] (10.0 m protection height (hig...)	Protection cost [million EUR] (10.5 m protection height (hig...)	Protection cost [million EUR] (11.0 m protection height (hig...)	Protection cost [million EUR] (11.5 m protection height (hig...)	Protection cost [million EUR] (12.0 m protection height (hig...)
001	Antwerp, Brussels, Ghent, Louvain	Belgium	50.98310	4.35072	1198.253	2197.284	3336.806	5543.075	7876.286	11460.574	15839.326	21072.730	28287.199	38515.806	49875.804	64746.574	80952.173	99992.224	120687.919	142956.855	166579.274	191765.316	218100.400	245437.546	273919.492	303520.317	333972.734	364981.354	396651.266
002	London	United Kingdom	51.48843	-0.20368	4.514	199.133	443.000	779.664	1190.546	1738.151	2381.477	3263.623	4482.425	5721.399	7054.651	8477.869	9972.472	11534.184	13157.722	14839.009	16564.244	18329.539	20125.524	21942.200	24248.740	26161.480	28096.598	30067.835	32053.776
003	Liverpool, Manchester	United Kingdom	53.48601	-2.43174	0.000	52.336	144.542	258.192	390.877	542.648	714.710	909.368	1125.622	1363.224	1619.987	1896.294	2189.517	2500.312	2833.509	3188.216	3568.512	3977.409	4423.243	4886.628	5370.346	5900.912	6447.117	7020.362	7622.492
004	Istanbul	Turkey	40.99156	29.03468	5.971	423.000	1071.579	1872.755	3497.408	4650.274	5913.279	7273.029	8719.318	10233.545	11848.653	13499.607	15206.656	16969.414	18771.911	20615.707	22503.551	24418.740	26363.548	28339.718	30353.691	32390.207	34455.020	36554.162	38668.268
005	Hamburg	Germany	53.58154	10.01751	2170.273	4199.936	6834.509	10257.466	14108.564	18460.967	23369.144	28544.653	33985.710	39644.148	45472.420	51813.827	57999.000	64242.913	70548.734	76904.202	83667.018	90200.293	96852.705	103510.540	110243.013	117029.642	123965.776	130940.649	138060.218
006	Athens	Greece	38.01626	23.73423	11.023	209.684	518.982	900.124	1346.285	1850.391	2411.376	3022.233	3675.618	4369.774	5096.719	5848.986	6626.172	7422.045	8234.962	9062.169	9903.524	10757.932	11621.940	12495.763	13380.815	14277.956	15186.287	16102.325	17025.516
007	Copenhagen	Denmark	55.70268	12.46773	365.356	1267.784	2623.030	4238.939	6198.366	8221.593	10403.007	12683.869	15046.607	17486.893	20024.627	22586.677	25250.605	27917.484	30641.230	33407.973	36218.528	39055.188	41916.944	44800.770	47722.074	50667.430	53658.227	56660.632	59683.570
008	Stockholm	Sweden	59.30948	18.04422	0.000	179.652	467.455	834.132	1268.146	1763.602	2319.445	2932.710	3605.389	4336.841	5175.528	6028.218	6941.544	7917.134	8962.104	10078.821	11269.300	12536.232	13934.864	15381.365	17224.514	18864.847	20587.713	22391.712	24273.236
009	Naples	Italy	40.85352	14.36066	0.011	498.285	1074.549	1766.254	2551.873	3433.737	4391.524	5424.903	6522.774	7675.078	8885.272	10152.025	11456.923	12804.234	14185.906	15657.842	17103.180	18589.274	20103.922	21648.863	23220.410	24828.901	26468.688	28150.057	29883.036
010	Helsinki	Finland	60.25335	24.91644	0.000	182.642	471.400	818.600	1209.729	1643.749	2120.435	2637.567	3199.982	3798.141	4435.893	5114.033	5832.467	6591.773	7391.764	8233.158	9120.242	10065.708	11061.719	12135.439	13270.182	14474.180	15748.386	17088.963	18587.085
011	Glasgow	United Kingdom	55.84640	-4.22532	0.000	77.714	241.932	450.720	707.343	1014.872	1370.695	1775.074	2221.900	2719.813	3262.843	3854.898	4498.268	5191.161	5921.658	6686.473	7490.021	8327.656	9185.920	10058.576	10942.205	11835.397	12747.425	13678.583	14626.055
012	Amsterdam	Netherlands	52.37763	4.79155	25056.027	30794.588	37104.054	43744.596	50949.988	58588.729	66392.900	74354.237	82456.576	90658.316	98979.209	107345.789	115792.560	124265.701	132786.938	141364.281	149964.472	158606.197	167302.463	176076.898	184870.420	193687.093	202541.351	211426.705	220357.755
013	Barcelona	Spain	41.47078	2.13499	5.555	156.612	378.461	688.356	1095.722	1553.522	2072.195	2652.155	3310.354	4036.802	4838.944	5676.606	6567.556	7506.805	8487.172	9530.300	10598.103	11678.993	12776.877	13886.098	15008.164	16139.439	17278.618	18422.618	19569.308
014	Rotterdam	Netherlands	51.89067	4.47908	30214.072	37134.524	44516.991	52268.442	60408.431	68894.564	77692.051	86791.414	96148.734	105703.473	115406.963	125233.316	135145.144	145131.815	155175.436	165260.902	175375.352	185508.463	195653.911	205807.436	215970.251	226139.718	236314.493	246492.414	256672.399
015	Dublin	Ireland	53.33911	-6.27814	0.000	208.564	571.602	1046.488	1614.632	2278.564	3135.958	4017.053	4980.136	6015.342	7114.641	8259.183	9447.979	10680.207	11972.216	13280.896	14619.609	15986.519	17377.929	18798.070	20244.214	21715.501	23206.644	24717.986	26253.302
016	Lisbon	Portugal	38.76976	-9.22662	1.016	92.311	240.434	458.003	710.221	1016.998	1369.117	1780.776	2253.741	2789.849	3371.359	4000.212	4672.607	5441.547	6206.352	7000.464	7821.461	8662.887	9526.546	10411.032	11315.678	12235.807	13188.008	14146.471	15127.223
017	Porto	Portugal	41.09668	-8.58927	0.010	42.139	106.535	186.250	290.628	425.516	584.496	777.262	1001.067	1256.811	1546.872	1868.859	2224.792	2615.672	3031.164	3472.126	3927.823	4402.699	4892.559	5397.728	5919.559	6454.403	7001.230	7561.031	8134.665
018	Nice, Cannes	France	43.65701	7.09790	0.000	231.991	600.555	1049.478	1565.594	2139.482	2770.681	3454.744	4184.523	4959.579	5781.377	6644.880	7542.078	8470.719	9436.886	10436.963	11473.612	12539.203	13626.857	14737.331	15871.597	17026.590	18200.930	19405.048	20624.314
019	Sunderland, Newcastle upon Tyne	United Kingdom	54.95247	-1.53441	0.000	31.195	281.394	564.793	978.212	1448.268	1963.314	2522.765	3112.809	3751.519	4421.733	5133.360	5881.202	6668.697	7492.440	8341.703	9224.834	10147.235	11098.583	12074.943	13074.507	14100.167	15151.070	16225.630	17324.524
020	Bremen	Germany	53.09071	8.77558	1720.749	2488.441	3341.256	4468.257	5909.788	7409.682	9125.616	11577.469	14052.170	17023.164	20264.538	23943.041	27852.503	32092.019	36590.977	41333.006	46301.925	51640.533	57133.990	62761.415	68619.743	74632.348	80776.413	87078.732	93434.970
021	Oslo	Norway	59.90685	10.74151	0.000	147.947	399.033	721.038	1106.765	1546.831	2042.584	2598.655	3218.641	3902.219	4646.846	5451.905	6324.954	7272.324	8289.166	9367.087	10499.873	11689.134	12933.431	14228.633	15570.661	16969.668	18404.086	19886.371	21411.025
022	Bordeaux	France	44.84219	-0.60646	0.000	0.000	0.000	0.000	4.554	88.655	245.691	650.786	1020.059	1543.535	2218.996	2946.449	3764.185	4678.911	5668.633	6742.306	7878.003	9066.803	10322.456	11613.491	12943.234	14305.666	15688.643	17093.244	18519.323
023	Riga	Latvia	56.95079	24.13977	968.816	1441.828	2008.194	2653.635	3404.477	4228.187	5241.607	6237.669	7292.353	8394.498	9572.801	10774.510	12044.984	13337.143	14718.291	16085.446	17488.822	18927.792	20388.667	22510.678	24419.871	26333.968	28905.214	31145.552	33465.289
024	Gdansk, Gdynia	Poland	54.43150	18.54087	1105.106	1563.257	2095.031	2706.736	3379.857	4090.821	4842.245	5635.932	6461.098	7321.990	8212.911	9131.080	10070.185	11028.951	12025.116	13028.764	14049.737	15088.253	16144.110	17218.277	18305.391	19412.347	20534.960	21673.863	22826.383
025	Cardiff	United Kingdom	51.55577	-3.25237	0.000	65.278	156.792	272.034	405.228	558.509	727.334	913.127	1114.496	1329.170	1559.702	1805.736	2075.825	2418.008	2795.398	3233.336	3717.380	4281.048	4882.540	5525.157	6203.775	6912.679	7640.131	8384.618	9142.023
026	Belfast	United Kingdom	54.61120	-5.89686	1.247	190.985	508.063	905.421	1372.945	1904.078	2496.716	3148.094	3856.803	4616.464	5421.295	6263.084	7140.560	8044.832	8970.466	9913.346	10871.222	11845.994	12837.407	13842.011	14859.428	15889.296	16928.934	17980.000	19038.702
027	Valencia	Spain	39.49010	-0.44424	69.204	220.551	456.420	838.713	1261.654	1816.260	2368.198	2978.479	3639.182	4340.644	5082.326	5872.156	6692.348	7553.630	8452.423	9380.522	10347.527	11398.096	12451.464	13547.565	14663.000	15806.667	16976.119	18165.551	19388.750
028	Marseille	France	43.31994	5.43043	0.000	165.483	403.563	679.716	984.505	1318.962	1683.229	2070.703	2474.459	2896.261	3332.626	3780.513	4240.087	4706.755	5178.410	5655.454	6135.586	6619.302	7108.222	7602.947	8101.780	8604.482	9111.070	9620.194	10133.057
029	Izmir (south)	Turkey	38.39823	27.16113	1.962	71.355	182.492	324.760	490.476	676.345	883.653	1108.992	1355.930	1620.473	1901.868	2198.163	2513.430	2842.425	3188.360	3544.149	3911.422	4287.036	4670.031	5057.509	5449.513	5844.930	6242.416	6641.763	7042.651
030	Gothenburg	Sweden	57.69614	11.96501	2.557	213.250	518.108	906.828	1395.367	1982.227	2664.999	3444.995	4300.446	5244.316	6247.949	7274.712	8335.209	9540.450	10778.809	11983.143	13219.167	14487.748	15786.117	17183.459	18554.911	19953.093	21382.052	22874.237	24381.512
031	The Hague	Netherlands	52.05671	4.35770	9741.965	11324.989	12993.434	14782.826	16602.373	18471.963	20444.414	22448.005	24485.376	26607.903	28805.474	31088.994	33321.325	35601.215	37924.622	40363.315	42785.546	45239.882	47727.321	50233.647	52762.178	55309.275	57872.581	60452.082	63045.243
